,tmax_c,tmin_c,tmean_c,precip_mm,gust_kmh,temp_range_c
tmax_c,1.0,0.9119788652669095,0.9808316474705303,-0.032734113202441247,-0.23489004263703125,0.5085159589477976
tmin_c,0.9119788652669095,1.0,0.9744160564388662,0.02876813898392297,-0.239269131920466,0.110520025439279
tmean_c,0.9808316474705303,0.9744160564388662,1.0,-0.004450696531208983,-0.24236794872318876,0.33102685944922355
precip_mm,-0.032734113202441247,0.02876813898392297,-0.004450696531208983,1.0,0.3196705669274765,-0.139720392100187
gust_kmh,-0.23489004263703125,-0.239269131920466,-0.24236794872318876,0.3196705669274765,1.0,-0.0708383647299566
temp_range_c,0.5085159589477976,0.110520025439279,0.33102685944922355,-0.139720392100187,-0.0708383647299566,1.0
