,count,mean,std,min,25%,50%,75%,max
tmax_c,2070.0,10.589082125603865,9.063877638320953,-12.5,2.9,9.9,18.1,31.3
tmin_c,2070.0,2.6327536231884054,7.852580803787596,-20.6,-2.575,1.7,8.975,20.6
tmean_c,2070.0,6.611159420289855,8.270591485922496,-14.1,0.1,5.8,13.7,25.0
temp_range_c,2070.0,7.956328502415459,3.7412589988376816,0.2,5.0,7.800000000000001,10.500000000000002,21.200000000000003
precip_mm,2066.0,3.858180058083253,8.25623916273975,0.0,0.0,0.2,3.6,92.8
snow_cm,0.0,,,,,,,
gust_kmh,1626.0,47.06519065190652,12.083939494944339,31.0,38.0,45.0,54.0,116.0
storm_index,2070.0,0.20782233883058468,0.12812044923553664,0.0,0.16853448275862068,0.21724137931034482,0.2835129310344827,0.746551724137931
